OrderID,CustomerID,ProductID,RegionID,OrderDate,Quantity,UnitPrice,Discount,Channel,OrderStatus,Revenue,Profit
O0772,C007,P020,R02,2023-02-08,1,299,0.04,Direct Sales,Delivered,287.04,133.44
O0884,C024,P003,R06,2023-02-08,2,64999,0.08,Direct Sales,Cancelled,119598.16,31278.16
O0759,C018,P034,R04,2023-02-11,2,799,0.1,Online,Delivered,1438.2,718.2
O0630,C010,P008,R02,2023-02-12,7,59999,0.08,Online,Cancelled,386393.56,115913.56
O0809,C028,P026,R08,2023-02-12,7,3299,0.08,Direct Sales,Cancelled,21245.56,9653.56
O0979,C016,P008,R02,2023-02-12,8,59999,0.12,Wholesale,Delivered,422392.96,126712.96
O0360,C007,P034,R02,2023-02-13,10,799,0.03,Retail Store,Pending,7750.3,3870.3
O0754,C034,P005,R01,2023-02-14,1,24999,0.03,Retail Store,Delivered,24249.03,10669.03
O0393,C005,P020,R01,2023-02-15,6,299,0.05,Online,Returned,1704.3,792.3
O0450,C033,P001,R10,2023-02-15,8,89999,0.06,Online,Delivered,676792.48,210552.48
O0509,C012,P029,R01,2023-02-15,5,2599,0.12,Wholesale,Delivered,11435.6,5275.6
O0851,C001,P020,R03,2023-02-15,1,299,0.07,Online,Delivered,278.07,129.27
O0954,C001,P027,R03,2023-02-15,9,43999,0.11,Online,Delivered,352431.99,128151.99
O0269,C002,P006,R01,2023-02-16,10,1499,0.13,Wholesale,Pending,13041.3,6081.3
O0323,C014,P005,R01,2023-02-16,2,24999,0.06,Direct Sales,Cancelled,46998.12,20678.12
O0555,C011,P005,R03,2023-02-16,8,24999,0.15,Wholesale,Returned,169993.2,74793.2
O0837,C027,P027,R07,2023-02-16,4,43999,0.11,Wholesale,Delivered,156636.44,56956.44
O0016,C032,P006,R10,2023-02-18,3,1499,0.06,Online,Returned,4227.18,1971.18
O0233,C020,P008,R02,2023-02-18,10,59999,0.05,Retail Store,Pending,569990.5,170990.5
O0827,C022,P006,R05,2023-02-20,3,1499,0.08,Online,Delivered,4137.24,1929.24
O0167,C014,P002,R01,2023-02-21,3,119999,0.1,Wholesale,Cancelled,323997.3,94497.3
O0275,C010,P007,R02,2023-02-21,10,89999,0.15,Wholesale,Pending,764991.5,297491.5
O0581,C022,P018,R05,2023-02-21,7,2499,0.05,Retail Store,Pending,16618.35,8638.35
O0896,C017,P008,R03,2023-02-23,8,59999,0.05,Retail Store,Delivered,455992.4,136792.4
O0789,C013,P018,R02,2023-02-24,1,2499,0.08,Direct Sales,Delivered,2299.08,1195.08
O0547,C020,P027,R02,2023-02-25,4,43999,0.03,Retail Store,Delivered,170716.12,62076.12
O0774,C001,P025,R03,2023-02-25,6,7999,0.12,Wholesale,Cancelled,42234.72,18474.72
O0967,C028,P018,R08,2023-02-25,8,2499,0.07,Online,Pending,18592.56,9664.56
O0012,C015,P021,R04,2023-02-27,6,149,0.07,Retail Store,Pending,831.42,385.02
O0735,C006,P010,R01,2023-02-27,2,65999,0.14,Wholesale,Cancelled,113518.28,37838.28
O0842,C030,P027,R09,2023-02-27,6,43999,0.12,Wholesale,Cancelled,232314.72,84474.72
O0923,C003,P022,R02,2023-02-27,1,110,0.14,Wholesale,Pending,94.6,43.0
O0040,C034,P011,R01,2023-02-28,2,7999,0.1,Online,Cancelled,14398.2,6298.2
O0338,C010,P030,R02,2023-03-01,9,2199,0.1,Direct Sales,Cancelled,17811.9,8091.9
O0443,C028,P016,R08,2023-03-01,7,2199,0.03,Retail Store,Delivered,14931.21,7462.21
O0744,C022,P004,R05,2023-03-03,9,29999,0.13,Wholesale,Delivered,234892.17,93952.17
O0889,C020,P017,R02,2023-03-04,10,5999,0.07,Direct Sales,Delivered,55790.7,26030.7
O0471,C008,P001,R02,2023-03-05,7,89999,0.03,Retail Store,Delivered,611093.21,190113.21
O0602,C017,P010,R03,2023-03-05,9,65999,0.1,Wholesale,Delivered,534591.9,178191.9
O0795,C033,P018,R10,2023-03-05,1,2499,0.14,Wholesale,Cancelled,2149.14,1117.14
O0875,C009,P019,R03,2023-03-05,1,599,0.14,Wholesale,Delivered,515.14,214.14
O0241,C012,P009,R01,2023-03-06,4,52999,0.04,Direct Sales,Delivered,203516.16,57596.16
O0420,C030,P023,R09,2023-03-06,7,329,0.05,Direct Sales,Delivered,2187.85,990.85
O0922,C032,P025,R10,2023-03-06,8,7999,0.12,Wholesale,Delivered,56312.96,24632.96
O0079,C010,P014,R02,2023-03-07,9,1799,0.06,Direct Sales,Pending,15219.54,7605.54
O0110,C031,P008,R09,2023-03-08,10,59999,0.07,Direct Sales,Returned,557990.7,167390.7
O0863,C032,P002,R10,2023-03-08,8,119999,0.05,Direct Sales,Pending,911992.4,265992.4
O0993,C034,P022,R01,2023-03-09,7,110,0.05,Direct Sales,Returned,731.5,332.5
O0028,C004,P015,R03,2023-03-11,2,6999,0.1,Online,Cancelled,12598.2,6298.2
O0688,C008,P017,R02,2023-03-11,4,5999,0.08,Direct Sales,Returned,22076.32,10300.32
O0910,C012,P029,R01,2023-03-13,4,2599,0.1,Direct Sales,Cancelled,9356.4,4316.4
O0943,C033,P008,R10,2023-03-14,10,59999,0.06,Retail Store,Cancelled,563990.6,169190.6
O0385,C028,P025,R08,2023-03-17,8,7999,0.1,Direct Sales,Cancelled,57592.8,25192.8
O0361,C018,P003,R04,2023-03-18,10,64999,0.14,Wholesale,Returned,558991.4,146191.4
O0472,C006,P017,R01,2023-03-18,4,5999,0.11,Online,Returned,21356.44,9964.44
O0034,C030,P016,R09,2023-03-19,9,2199,0.09,Direct Sales,Delivered,18009.81,9000.81
O0376,C020,P031,R02,2023-03-20,4,699,0.11,Wholesale,Returned,2488.44,1242.44
O0494,C010,P022,R02,2023-03-21,6,110,0.04,Retail Store,Delivered,633.6,288.0
O0771,C026,P014,R07,2023-03-21,3,1799,0.14,Wholesale,Pending,4641.42,2319.42
O0266,C034,P019,R01,2023-03-22,9,599,0.1,Wholesale,Delivered,4851.9,2016.9
O0299,C003,P019,R02,2023-03-22,5,599,0.15,Wholesale,Returned,2545.75,1058.25
O0694,C007,P008,R02,2023-03-22,9,59999,0.08,Direct Sales,Delivered,496791.72,149031.72
O0009,C015,P019,R04,2023-03-23,7,599,0.07,Retail Store,Delivered,3899.49,1620.99
O0918,C035,P022,R03,2023-03-24,5,110,0.09,Direct Sales,Returned,500.5,227.5
O0246,C034,P018,R01,2023-03-26,10,2499,0.04,Direct Sales,Delivered,23990.4,12470.4
O0777,C009,P022,R03,2023-03-26,1,110,0.07,Direct Sales,Cancelled,102.3,46.5
O0956,C032,P016,R10,2023-03-27,7,2199,0.09,Online,Delivered,14007.63,7000.63
O0210,C007,P022,R02,2023-03-28,8,110,0.02,Retail Store,Pending,862.4,392.0
O0658,C002,P019,R01,2023-03-29,8,599,0.05,Retail Store,Pending,4552.4,1892.4
O0778,C026,P017,R07,2023-03-29,3,5999,0.07,Direct Sales,Delivered,16737.21,7809.21
O0784,C024,P010,R06,2023-03-29,4,65999,0.09,Online,Cancelled,240236.36,80076.36
O0097,C021,P016,R05,2023-03-30,4,2199,0.14,Wholesale,Pending,7564.56,3780.56
O0311,C033,P021,R10,2023-03-30,3,149,0.08,Direct Sales,Delivered,411.24,190.44
O0432,C029,P014,R08,2023-03-30,2,1799,0.06,Online,Cancelled,3382.12,1690.12
O0858,C025,P004,R05,2023-03-30,10,29999,0.06,Direct Sales,Cancelled,281990.6,112790.6
O0832,C007,P034,R02,2023-03-31,10,799,0.08,Direct Sales,Returned,7350.8,3670.8
O0429,C015,P025,R04,2023-04-02,6,7999,0.06,Online,Delivered,45114.36,19734.36
O0743,C010,P024,R02,2023-04-02,2,175,0.03,Retail Store,Returned,339.5,164.9
O0157,C026,P024,R07,2023-04-03,9,175,0.04,Direct Sales,Delivered,1512.0,734.4
O0733,C001,P015,R03,2023-04-03,4,6999,0.02,Retail Store,Delivered,27436.08,13716.08
O0188,C010,P002,R02,2023-04-04,8,119999,0.04,Retail Store,Delivered,921592.32,268792.32
O0508,C032,P017,R10,2023-04-04,7,5999,0.05,Direct Sales,Delivered,39893.35,18613.35
O0473,C029,P009,R08,2023-04-05,8,52999,0.1,Wholesale,Delivered,381592.8,107992.8
O0181,C006,P006,R01,2023-04-06,6,1499,0.05,Direct Sales,Delivered,8544.3,3984.3
O0860,C030,P009,R09,2023-04-06,5,52999,0.05,Direct Sales,Returned,251745.25,71245.25
O0769,C033,P010,R10,2023-04-07,3,65999,0.08,Online,Delivered,182157.24,60717.24
O0619,C033,P006,R10,2023-04-09,9,1499,0.08,Retail Store,Cancelled,12411.72,5787.72
O0006,C006,P025,R01,2023-04-10,10,7999,0.14,Wholesale,Delivered,68791.4,30091.4
O0283,C008,P009,R02,2023-04-10,6,52999,0.06,Direct Sales,Cancelled,298914.36,84594.36
O0365,C023,P004,R06,2023-04-11,2,29999,0.05,Direct Sales,Delivered,56998.1,22798.1
O0707,C004,P026,R03,2023-04-12,5,3299,0.02,Retail Store,Pending,16165.1,7345.1
O0106,C034,P019,R01,2023-04-13,6,599,0.04,Retail Store,Delivered,3450.24,1434.24
O0139,C033,P022,R10,2023-04-13,8,110,0.05,Direct Sales,Delivered,836.0,380.0
O0302,C015,P004,R04,2023-04-13,8,29999,0.06,Direct Sales,Delivered,225592.48,90232.48
O0569,C030,P004,R09,2023-04-13,5,29999,0.07,Retail Store,Delivered,139495.35,55795.35
O0498,C035,P025,R03,2023-04-14,10,7999,0.09,Direct Sales,Returned,72790.9,31840.9
O0760,C034,P007,R01,2023-04-14,4,89999,0.05,Retail Store,Delivered,341996.2,132996.2
O0603,C023,P029,R06,2023-04-15,9,2599,0.06,Retail Store,Pending,21987.54,10143.54
O0203,C010,P016,R02,2023-04-16,3,2199,0.04,Retail Store,Cancelled,6333.12,3165.12
O0459,C025,P020,R05,2023-04-17,4,299,0.05,Retail Store,Pending,1136.2,528.2
O0594,C012,P009,R01,2023-04-17,10,52999,0.08,Direct Sales,Delivered,487590.8,137990.8
O0465,C007,P010,R02,2023-04-19,6,65999,0.05,Retail Store,Pending,376194.3,125394.3
O0048,C017,P008,R03,2023-04-20,10,59999,0.04,Retail Store,Delivered,575990.4,172790.4
O0061,C017,P003,R03,2023-04-22,6,64999,0.06,Direct Sales,Pending,366594.36,95874.36
O0387,C035,P006,R03,2023-04-22,6,1499,0.06,Retail Store,Delivered,8454.36,3942.36
O0730,C009,P019,R03,2023-04-24,5,599,0.08,Direct Sales,Returned,2755.4,1145.4
O0963,C024,P004,R06,2023-04-24,10,29999,0.06,Direct Sales,Delivered,281990.6,112790.6
O0971,C011,P018,R03,2023-04-25,4,2499,0.05,Retail Store,Cancelled,9496.2,4936.2
O0409,C032,P033,R10,2023-04-26,9,2999,0.07,Online,Delivered,25101.63,12546.63
O0939,C004,P013,R03,2023-04-26,8,3499,0.06,Retail Store,Pending,26312.48,12776.48
O0564,C008,P019,R02,2023-04-27,10,599,0.08,Online,Delivered,5510.8,2290.8
O0839,C021,P001,R05,2023-04-27,10,89999,0.11,Wholesale,Cancelled,800991.1,249191.1
O0156,C019,P022,R01,2023-04-28,3,110,0.1,Direct Sales,Delivered,297.0,135.0
O0615,C031,P001,R09,2023-04-28,10,89999,0.12,Wholesale,Cancelled,791991.2,246391.2
O0570,C021,P028,R05,2023-04-29,1,1099,0.1,Online,Delivered,989.1,449.1
O0131,C008,P030,R02,2023-05-01,5,2199,0.05,Retail Store,Cancelled,10445.25,4745.25
O0105,C013,P021,R02,2023-05-03,8,149,0.03,Retail Store,Delivered,1156.24,535.44
O0195,C019,P021,R01,2023-05-03,7,149,0.08,Online,Delivered,959.56,444.36
O0608,C012,P033,R01,2023-05-03,5,2999,0.04,Direct Sales,Cancelled,14395.2,7195.2
O0428,C001,P022,R03,2023-05-04,8,110,0.08,Direct Sales,Delivered,809.6,368.0
O0259,C033,P015,R10,2023-05-05,4,6999,0.07,Retail Store,Pending,26036.28,13016.28
O0256,C032,P013,R10,2023-05-06,8,3499,0.07,Retail Store,Delivered,26032.56,12640.56
O0968,C033,P034,R10,2023-05-06,9,799,0.08,Direct Sales,Delivered,6615.72,3303.72
O0817,C021,P011,R05,2023-05-07,8,7999,0.06,Online,Returned,60152.48,26312.48
O0119,C019,P029,R01,2023-05-08,7,2599,0.08,Direct Sales,Delivered,16737.56,7721.56
O0244,C022,P018,R05,2023-05-08,7,2499,0.12,Wholesale,Returned,15393.84,8001.84
O0176,C010,P005,R02,2023-05-10,10,24999,0.13,Wholesale,Cancelled,217491.3,95691.3
O0084,C011,P030,R03,2023-05-11,10,2199,0.1,Online,Cancelled,19791.0,8991.0
O0656,C016,P003,R02,2023-05-11,9,64999,0.03,Retail Store,Delivered,567441.27,148401.27
O0024,C035,P009,R03,2023-05-12,3,52999,0.1,Direct Sales,Delivered,143097.3,40497.3
O0554,C023,P020,R06,2023-05-13,10,299,0.07,Online,Delivered,2780.7,1292.7
O0857,C029,P004,R08,2023-05-14,1,29999,0.08,Online,Delivered,27599.08,11039.08
O0558,C015,P015,R04,2023-05-15,10,6999,0.06,Retail Store,Cancelled,65790.6,32890.6
O0803,C013,P007,R02,2023-05-15,10,89999,0.02,Retail Store,Cancelled,881990.2,342990.2
O0321,C004,P030,R03,2023-05-16,1,2199,0.07,Direct Sales,Cancelled,2045.07,929.07
O0427,C031,P005,R09,2023-05-16,8,24999,0.05,Retail Store,Delivered,189992.4,83592.4
O0891,C018,P017,R04,2023-05-16,5,5999,0.11,Wholesale,Delivered,26695.55,12455.55
O0316,C015,P015,R04,2023-05-17,10,6999,0.05,Direct Sales,Delivered,66490.5,33240.5
O0326,C006,P035,R01,2023-05-17,9,1799,0.1,Wholesale,Pending,14571.9,7281.9
O0430,C009,P025,R03,2023-05-17,10,7999,0.02,Retail Store,Delivered,78390.2,34290.2
O0523,C007,P015,R02,2023-05-18,8,6999,0.15,Wholesale,Delivered,47593.2,23793.2
O0805,C006,P031,R01,2023-05-18,6,699,0.08,Direct Sales,Delivered,3858.48,1926.48
O0830,C019,P031,R01,2023-05-18,5,699,0.09,Online,Delivered,3180.45,1587.95
O0815,C012,P035,R01,2023-05-19,8,1799,0.06,Direct Sales,Delivered,13528.48,6760.48
O0949,C004,P018,R03,2023-05-20,8,2499,0.1,Online,Pending,17992.8,9352.8
O0596,C029,P009,R08,2023-05-22,9,52999,0.08,Direct Sales,Delivered,438831.72,124191.72
O0959,C030,P030,R09,2023-05-22,6,2199,0.05,Direct Sales,Returned,12534.3,5694.3
O0878,C012,P031,R01,2023-05-23,6,699,0.05,Retail Store,Pending,3984.3,1989.3
O0992,C028,P027,R08,2023-05-23,5,43999,0.06,Online,Pending,206795.3,75195.3
O0332,C014,P004,R01,2023-05-24,10,29999,0.1,Wholesale,Delivered,269991.0,107991.0
O0640,C006,P018,R01,2023-05-24,2,2499,0.04,Retail Store,Returned,4798.08,2494.08
O0931,C008,P018,R02,2023-05-25,6,2499,0.05,Direct Sales,Cancelled,14244.3,7404.3
O0118,C010,P018,R02,2023-05-26,5,2499,0.05,Online,Cancelled,11870.25,6170.25
O0391,C006,P008,R01,2023-05-26,8,59999,0.11,Wholesale,Delivered,427192.88,128152.88
O0417,C026,P032,R07,2023-05-26,7,1599,0.13,Wholesale,Pending,9737.91,4865.91
O0460,C032,P004,R10,2023-05-26,4,29999,0.1,Wholesale,Cancelled,107996.4,43196.4
O0885,C031,P006,R09,2023-05-26,2,1499,0.12,Wholesale,Cancelled,2638.24,1230.24
O0548,C027,P030,R07,2023-05-27,3,2199,0.14,Wholesale,Delivered,5673.42,2577.42
O0820,C010,P011,R02,2023-05-29,1,7999,0.07,Retail Store,Pending,7439.07,3254.07
O0826,C023,P003,R06,2023-05-29,10,64999,0.09,Online,Delivered,591490.9,154690.9
O0982,C026,P032,R07,2023-05-29,3,1599,0.1,Direct Sales,Delivered,4317.3,2157.3
O0375,C018,P032,R04,2023-05-30,5,1599,0.06,Online,Pending,7515.3,3755.3
O0072,C026,P016,R07,2023-06-01,2,2199,0.1,Online,Pending,3958.2,1978.2
O0468,C014,P021,R01,2023-06-01,6,149,0.09,Online,Pending,813.54,376.74
O0111,C004,P010,R03,2023-06-02,4,65999,0.1,Wholesale,Delivered,237596.4,79196.4
O0579,C023,P025,R06,2023-06-02,3,7999,0.05,Online,Cancelled,22797.15,9972.15
O0854,C008,P018,R02,2023-06-02,1,2499,0.04,Retail Store,Cancelled,2399.04,1247.04
O0457,C035,P016,R03,2023-06-04,1,2199,0.11,Online,Delivered,1957.11,978.11
O0510,C018,P004,R04,2023-06-04,6,29999,0.06,Online,Cancelled,169194.36,67674.36
O0796,C018,P015,R04,2023-06-05,3,6999,0.14,Wholesale,Delivered,18057.42,9027.42
O0914,C025,P018,R05,2023-06-05,10,2499,0.14,Wholesale,Delivered,21491.4,11171.4
O0021,C033,P013,R10,2023-06-06,9,3499,0.14,Wholesale,Cancelled,27082.26,13150.26
O0347,C027,P019,R07,2023-06-06,7,599,0.04,Retail Store,Cancelled,4025.28,1673.28
O0505,C026,P032,R07,2023-06-07,7,1599,0.07,Online,Delivered,10409.49,5201.49
O0610,C010,P003,R02,2023-06-07,10,64999,0.13,Wholesale,Returned,565491.3,147891.3
O0038,C028,P032,R08,2023-06-08,1,1599,0.04,Retail Store,Cancelled,1535.04,767.04
O0190,C006,P004,R01,2023-06-09,1,29999,0.07,Retail Store,Returned,27899.07,11159.07
O0442,C033,P014,R10,2023-06-09,2,1799,0.11,Wholesale,Delivered,3202.22,1600.22
O0467,C008,P006,R02,2023-06-11,10,1499,0.14,Wholesale,Delivered,12891.4,6011.4
O0681,C016,P001,R02,2023-06-11,7,89999,0.11,Online,Delivered,560693.77,174433.77
O0424,C009,P020,R03,2023-06-12,6,299,0.1,Wholesale,Delivered,1614.6,750.6
O0481,C023,P015,R06,2023-06-13,4,6999,0.06,Online,Delivered,26316.24,13156.24
O0574,C009,P004,R03,2023-06-13,10,29999,0.07,Online,Pending,278990.7,111590.7
O0226,C019,P006,R01,2023-06-14,9,1499,0.12,Wholesale,Delivered,11872.08,5536.08
O0609,C017,P009,R03,2023-06-14,8,52999,0.09,Wholesale,Returned,385832.72,109192.72
O0675,C022,P004,R05,2023-06-14,1,29999,0.1,Direct Sales,Delivered,26999.1,10799.1
O0265,C020,P011,R02,2023-06-15,4,7999,0.15,Wholesale,Delivered,27196.6,11896.6
O0958,C031,P020,R09,2023-06-15,10,299,0.09,Direct Sales,Delivered,2720.9,1264.9
O0010,C030,P024,R09,2023-06-16,5,175,0.11,Wholesale,Returned,778.75,378.25
O0055,C010,P016,R02,2023-06-16,1,2199,0.07,Retail Store,Delivered,2045.07,1022.07
O0220,C025,P010,R05,2023-06-16,10,65999,0.07,Retail Store,Delivered,613790.7,204590.7
O0286,C021,P021,R05,2023-06-16,5,149,0.1,Direct Sales,Cancelled,670.5,310.5
O0727,C026,P016,R07,2023-06-17,4,2199,0.09,Direct Sales,Delivered,8004.36,4000.36
O0589,C007,P003,R02,2023-06-18,7,64999,0.05,Direct Sales,Delivered,432243.35,113043.35
O0580,C031,P032,R09,2023-06-19,6,1599,0.1,Online,Delivered,8634.6,4314.6
O0248,C029,P028,R08,2023-06-20,1,1099,0.06,Direct Sales,Returned,1033.06,469.06
O0497,C029,P027,R08,2023-06-20,7,43999,0.07,Direct Sales,Delivered,286433.49,104153.49
O0657,C010,P004,R02,2023-06-20,9,29999,0.15,Wholesale,Pending,229492.35,91792.35
O0660,C033,P017,R10,2023-06-21,10,5999,0.15,Wholesale,Cancelled,50991.5,23791.5
O0349,C032,P030,R10,2023-06-22,9,2199,0.1,Wholesale,Pending,17811.9,8091.9
O0374,C016,P034,R02,2023-06-23,5,799,0.05,Direct Sales,Delivered,3795.25,1895.25
O0856,C019,P016,R01,2023-06-25,6,2199,0.07,Online,Cancelled,12270.42,6132.42
O0294,C025,P021,R05,2023-06-27,6,149,0.09,Direct Sales,Cancelled,813.54,376.74
O0171,C021,P002,R05,2023-06-28,7,119999,0.09,Wholesale,Cancelled,764393.63,222943.63
O0964,C024,P024,R06,2023-06-29,4,175,0.08,Online,Delivered,644.0,312.8
O0994,C018,P027,R04,2023-06-29,3,43999,0.08,Direct Sales,Delivered,121437.24,44157.24
O0204,C010,P005,R02,2023-07-01,10,24999,0.07,Direct Sales,Cancelled,232490.7,102290.7
O0487,C009,P022,R03,2023-07-01,3,110,0.09,Wholesale,Cancelled,300.3,136.5
O0020,C017,P033,R03,2023-07-02,5,2999,0.1,Online,Returned,13495.5,6745.5
O0947,C014,P030,R01,2023-07-02,8,2199,0.06,Direct Sales,Returned,16536.48,7512.48
O0451,C025,P010,R05,2023-07-03,7,65999,0.08,Online,Delivered,425033.56,141673.56
O0672,C027,P031,R07,2023-07-03,8,699,0.12,Wholesale,Delivered,4920.96,2456.96
O0970,C006,P026,R01,2023-07-03,2,3299,0.15,Wholesale,Delivered,5608.3,2548.3
O0187,C023,P001,R06,2023-07-05,7,89999,0.05,Retail Store,Delivered,598493.35,186193.35
O0978,C035,P019,R03,2023-07-06,3,599,0.07,Retail Store,Delivered,1671.21,694.71
O0862,C024,P026,R06,2023-07-07,6,3299,0.14,Wholesale,Pending,17022.84,7734.84
O0254,C008,P002,R02,2023-07-10,9,119999,0.07,Direct Sales,Delivered,1004391.63,292941.63
O0306,C026,P032,R07,2023-07-10,1,1599,0.14,Wholesale,Delivered,1375.14,687.14
O0403,C025,P028,R05,2023-07-10,3,1099,0.08,Direct Sales,Cancelled,3033.24,1377.24
O0792,C035,P006,R03,2023-07-10,8,1499,0.05,Retail Store,Cancelled,11392.4,5312.4
O0371,C009,P006,R03,2023-07-11,9,1499,0.07,Direct Sales,Cancelled,12546.63,5850.63
O0398,C007,P035,R02,2023-07-11,8,1799,0.11,Wholesale,Delivered,12808.88,6400.88
O0475,C023,P014,R06,2023-07-11,3,1799,0.11,Wholesale,Delivered,4803.33,2400.33
O0341,C003,P005,R02,2023-07-12,6,24999,0.05,Retail Store,Delivered,142494.3,62694.3
O0557,C032,P023,R10,2023-07-12,7,329,0.08,Retail Store,Delivered,2118.76,959.56
O0590,C017,P013,R03,2023-07-12,7,3499,0.11,Online,Delivered,21798.77,10584.77
O0973,C002,P019,R01,2023-07-13,4,599,0.05,Online,Cancelled,2276.2,946.2
O0166,C026,P018,R07,2023-07-14,8,2499,0.11,Online,Delivered,17792.88,9248.88
O0342,C001,P014,R03,2023-07-14,8,1799,0.09,Online,Delivered,13096.72,6544.72
O0553,C021,P034,R05,2023-07-15,4,799,0.09,Online,Delivered,2908.36,1452.36
O0736,C031,P012,R09,2023-07-16,1,13999,0.14,Wholesale,Delivered,12039.14,5159.14
O0755,C007,P032,R02,2023-07-16,7,1599,0.05,Online,Returned,10633.35,5313.35
O0514,C011,P014,R03,2023-07-17,2,1799,0.02,Retail Store,Returned,3526.04,1762.04
